更新日期,梗的名称,热度,梗的简单解释,梗的来源,环比昨天热度变化
2025-05-26,WE晋级Cube泪洒现场,4913772.0,WE战队晋级后Cube感动落泪的场面。,B站热搜,0
2025-05-26,台风失踪了,4831112.0,预测的台风未按时到达，调侃气象预报不准。,B站热搜,0
2025-05-26,韩国吃饭霸总真来B站啦,4267166.0,韩国明星李敏镐入驻B站，粉丝称其为霸总。,B站热搜,0
2025-05-26,第一视角看龙船漂移,4177386.0,戏谑视频视角，模仿赛车漂移的龙舟比赛。,B站热搜,0
2025-05-26,5元自助快餐店因一条差评火了,1135569.0,因差评意外走红，店铺获关注。,微博热搜,0
2025-05-26,京东买药618不用答题直接免单,488138.0,京东活动免单药品，无需答题直接领取。,微博热搜,0
2025-05-26,K总为看藏海传停播一天,463014.0,K总因看藏海传暂停工作一天。,微博热搜,0
2025-05-26,特朗普威胁苹果时iPhone响了,450436.0,巧合事件，特朗普批评苹果时，现场iPhone铃声响起。,微博热搜,0
2025-05-26,姚安娜说还好从哈佛毕业了,445577.0,姚安娜自嘲学历，幽默回应网友质疑。,微博热搜,0
2025-05-26,肖战秒被打脸,181591.0,肖战言行不一，被迅速揭穿。,微博热搜,0
